"CustomerKey","Customer ID","Customer Name","Segment"
"AA-10315","AA-10315","Alex Avila","Consumer"
"AA-10375","AA-10375","Allen Armold","Consumer"
"AA-10480","AA-10480","Andrew Allen","Consumer"
"AA-10645","AA-10645","Anna Andreadi","Consumer"
"AB-10015","AB-10015","Aaron Bergman","Consumer"
"AB-10060","AB-10060","Adam Bellavance","Home Office"
"AB-10105","AB-10105","Adrian Barton","Consumer"
"AB-10150","AB-10150","Aimee Bixby","Consumer"
"AB-10165","AB-10165","Alan Barnes","Consumer"
"AB-10255","AB-10255","Alejandro Ballentine","Home Office"
"AB-10600","AB-10600","Ann Blume","Corporate"
"AC-10420","AC-10420","Alyssa Crouse","Corporate"
"AC-10450","AC-10450","Amy Cox","Consumer"
"AC-10615","AC-10615","Ann Chong","Corporate"
"AC-10660","AC-10660","Anna Chung","Consumer"
"AD-10180","AD-10180","Alan Dominguez","Home Office"
"AF-10870","AF-10870","Art Ferguson","Consumer"
"AF-10885","AF-10885","Art Foster","Consumer"
"AG-10270","AG-10270","Alejandro Grove","Consumer"
"AG-10300","AG-10300","Aleksandra Gannaway","Corporate"
"AG-10330","AG-10330","Alex Grayson","Consumer"
"AG-10390","AG-10390","Allen Goldenen","Consumer"
"AG-10495","AG-10495","Andrew Gjertsen","Corporate"
"AG-10675","AG-10675","Anna Gayman","Consumer"
"AG-10765","AG-10765","Anthony Garverick","Home Office"
"AG-10900","AG-10900","Arthur Gainer","Consumer"
"AH-10030","AH-10030","Aaron Hawkins","Corporate"
"AH-10075","AH-10075","Adam Hart","Corporate"
"AH-10120","AH-10120","Adrian Hane","Home Office"
"AH-10195","AH-10195","Alan Haines","Corporate"
"AH-10210","AH-10210","Alan Hwang","Consumer"
"AH-10465","AH-10465","Amy Hunt","Consumer"
"AH-10585","AH-10585","Angele Hood","Consumer"
"AH-10690","AH-10690","Anna H?berlin","Corporate"
"AI-10855","AI-10855","Arianne Irving","Consumer"
"AJ-10780","AJ-10780","Anthony Jacobs","Corporate"
"AJ-10795","AJ-10795","Anthony Johnson","Corporate"
"AJ-10945","AJ-10945","Ashley Jarboe","Consumer"
"AJ-10960","AJ-10960","Astrea Jones","Consumer"
"AM-10360","AM-10360","Alice McCarthy","Corporate"
"AM-10705","AM-10705","Anne McFarland","Consumer"
"AO-10810","AO-10810","Anthony O'Donnell","Corporate"
"AP-10720","AP-10720","Anne Pryor","Home Office"
"AP-10915","AP-10915","Arthur Prichep","Consumer"
"AR-10345","AR-10345","Alex Russell","Corporate"
"AR-10405","AR-10405","Allen Rosenblatt","Corporate"
"AR-10510","AR-10510","Andrew Roberts","Consumer"
"AR-10540","AR-10540","Andy Reiter","Consumer"
"AR-10570","AR-10570","Anemone Ratner","Consumer"
"AR-10825","AR-10825","Anthony Rawles","Corporate"
"AS-10045","AS-10045","Aaron Smayling","Corporate"
"AS-10090","AS-10090","Adam Shillingsburg","Consumer"
"AS-10135","AS-10135","Adrian Shami","Home Office"
"AS-10225","AS-10225","Alan Schoenberger","Corporate"
"AS-10240","AS-10240","Alan Shonely","Consumer"
"AS-10285","AS-10285","Alejandro Savely","Corporate"
"AS-10630","AS-10630","Ann Steele","Home Office"
"AT-10435","AT-10435","Alyssa Tate","Home Office"
"AT-10735","AT-10735","Annie Thurman","Consumer"
"AW-10840","AW-10840","Anthony Witt","Consumer"
"AW-10930","AW-10930","Arthur Wiediger","Home Office"
"AY-10555","AY-10555","Andy Yotov","Corporate"
"AZ-10750","AZ-10750","Annie Zypern","Consumer"
"BB-10990","BB-10990","Barry Blumstein","Corporate"
"BB-11545","BB-11545","Brenda Bowman","Corporate"
"BC-11125","BC-11125","Becky Castell","Home Office"
"BD-11320","BD-11320","Bill Donatelli","Consumer"
"BD-11500","BD-11500","Bradley Drucker","Consumer"
"BD-11560","BD-11560","Brendan Dodson","Home Office"
"BD-11605","BD-11605","Brian Dahlen","Consumer"
"BD-11620","BD-11620","Brian DeCherney","Consumer"
"BD-11635","BD-11635","Brian Derr","Consumer"
"BD-11725","BD-11725","Bruce Degenhardt","Consumer"
"BD-11770","BD-11770","Bryan Davis","Consumer"
"BE-11335","BE-11335","Bill Eplett","Home Office"
"BE-11410","BE-11410","Bobby Elias","Consumer"
"BE-11455","BE-11455","Brad Eason","Home Office"
"BF-10975","BF-10975","Barbara Fisher","Corporate"
"BF-11005","BF-11005","Barry Franz","Home Office"
"BF-11020","BF-11020","Barry Franz?sisch","Corporate"
"BF-11080","BF-11080","Bart Folk","Consumer"
"BF-11170","BF-11170","Ben Ferrer","Home Office"
"BF-11215","BF-11215","Benjamin Farhat","Home Office"
"BF-11275","BF-11275","Beth Fritzler","Corporate"
"BG-11035","BG-11035","Barry Gonzalez","Consumer"
"BG-11695","BG-11695","Brooke Gillingham","Corporate"
"BG-11740","BG-11740","Bruce Geld","Consumer"
"BH-11710","BH-11710","Brosina Hoffman","Consumer"
"BK-11260","BK-11260","Berenike Kampe","Consumer"
"BM-11140","BM-11140","Becky Martin","Consumer"
"BM-11575","BM-11575","Brendan Murry","Corporate"
"BM-11650","BM-11650","Brian Moss","Corporate"
"BM-11785","BM-11785","Bryan Mills","Consumer"
"BN-11470","BN-11470","Brad Norvell","Corporate"
"BN-11515","BN-11515","Bradley Nguyen","Consumer"
"BO-11350","BO-11350","Bill Overfelt","Corporate"
"BO-11425","BO-11425","Bobby Odegard","Consumer"
"BP-11050","BP-11050","Barry Pond","Corporate"
"BP-11095","BP-11095","Bart Pistole","Corporate"
"BP-11155","BP-11155","Becky Pak","Consumer"
"BP-11185","BP-11185","Ben Peterman","Corporate"
"BP-11230","BP-11230","Benjamin Patterson","Consumer"
"BP-11290","BP-11290","Beth Paige","Consumer"
"BS-11365","BS-11365","Bill Shonely","Corporate"
"BS-11380","BS-11380","Bill Stewart","Corporate"
"BS-11590","BS-11590","Brendan Sweed","Corporate"
"BS-11665","BS-11665","Brian Stugart","Consumer"
"BS-11755","BS-11755","Bruce Stewart","Consumer"
"BS-11800","BS-11800","Bryan Spruell","Home Office"
"BT-11305","BT-11305","Beth Thompson","Home Office"
"BT-11395","BT-11395","Bill Tyler","Corporate"
"BT-11440","BT-11440","Bobby Trafton","Consumer"
"BT-11485","BT-11485","Brad Thomas","Home Office"
"BT-11530","BT-11530","Bradley Talbott","Home Office"
"BT-11680","BT-11680","Brian Thompson","Consumer"
"BV-11245","BV-11245","Benjamin Venier","Corporate"
